;westers_adj_periods 2-grams in 1884;westers_adj_periods 2-grams count in 1884;total 2-grams in 1884;westers_adj_periods 2-grams in 1894;westers_adj_periods 2-grams count in 1894;total 2-grams in 1894;westers_adj_periods 2-grams in 1904;westers_adj_periods 2-grams count in 1904;total 2-grams in 1904;westers_adj_periods 2-grams in 1914;westers_adj_periods 2-grams count in 1914;total 2-grams in 1914;westers_adj_periods 2-grams in 1924;westers_adj_periods 2-grams count in 1924;total 2-grams in 1924;westers_adj_periods 2-grams in 1934;westers_adj_periods 2-grams count in 1934;total 2-grams in 1934;westers_adj_periods 2-grams in 1944;westers_adj_periods 2-grams count in 1944;total 2-grams in 1944;westers_adj_periods 2-grams in 1954;westers_adj_periods 2-grams count in 1954;total 2-grams in 1954;westers_adj_periods 2-grams in 1964;westers_adj_periods 2-grams count in 1964;total 2-grams in 1964;westers_adj_periods 2-grams in 1974;westers_adj_periods 2-grams count in 1974;total 2-grams in 1974;westers_adj_periods 2-grams in 1984;westers_adj_periods 2-grams count in 1984;total 2-grams in 1984;westers_adj_periods 2-grams in 1994;westers_adj_periods 2-grams count in 1994;total 2-grams in 1994
68;allerlei westersche;2;;hoofdartikel westersche;2;;westersche manieren;3;;fennechiena westers;8;;westersche leiding;6;;geheele westersche;19;;meer westersch;12;;westerse hoge;21;;westerse bondgenootschap;52;;worden westerse;59;;westerse hulp;138;;wat westerse;188;
69;overleden westers;2;;invoering westersche;2;;oostersch westersch;3;;westersche ideeën;8;;ons westersche;6;;westersche talen;19;;shun westers;12;;westerse ogen;20;;westerse deskundigen;51;;westerse imperialisme;58;;tegenover westerse;134;;waar westerse;185;
70;westers pastoor;2;;nieuwe westersche;2;;volk westersche;3;;volgens westersche;8;;westerse beschaving;6;;welke westersche;18;;onze westerse;11;;westerse gemeenschap;20;;westerse zijde;49;;landen westerse;58;;onder westerse;133;;onder westerse;181;
71;gelooven westersche;2;;mengeling westersche;2;;westersche wetenschappen;3;;worden westersche;8;;westersche denkbeelden;6;;westersche oogen;18;;westersche element;11;;duitsland westerse;20;;westerse kamp;48;;wat westerse;57;;westers model;132;;wordt westerse;180;
72;vergeten westersche;2;;westersche opvoeding;2;;westersche politiek;3;;westers amsterdam;8;;waar westersche;6;;westersche zeden;18;;westersche opvoeding;11;;westerse autoriteiten;19;;nan westerse;48;;enige westerse;56;;landen westerse;131;;westerse invloeden;177;
73;westersche markten;2;;honderd westersche;2;;westersche wijze;3;;westers bremerhaven;8;;westersche maatschappij;6;;westersche gezag;18;;westersche maatschappij;11;;zal westerse;19;;onder westerse;48;;westerse valuta;55;;westerse persbureaus;131;;westerse produkten;175;
74;indië westersche;2;;westersche peil;2;;vernis westersche;3;;alberdlna westers;8;;zijn westersch;6;;westersch bedrijf;18;;westersche belangen;11;;verdediging westerse;19;;westerse staten;47;;geen westerse;53;;omdat westerse;130;;zegt westerse;175;
75;hillechino westers;2;;westers ziethen;2;;volgens westersche;3;;westers altona;8;;westers denemarken;6;;westersche leven;17;;voor westersch;10;;westerse propaganda;19;;westerse leiders;46;;westerse kapitalisme;53;;westerse maatstaven;124;;zich westerse;174;
76;westers martha;2;;geen westersche;2;;westers gebroeders;3;;westers duitschland;7;;westersche invloeden;6;;westers kopenhagen;17;;wordt westersche;10;;pact westerse;19;;westerse gemeenschap;44;;veel westerse;53;;westerse oliemaatschappijen;122;;westerse donoren;174;
77;geval westersche;2;;erie westers;2;;westersche steden;3;;daar westersche;7;;westersche leest;6;;westersche staten;17;;westersche instellingen;10;;westerse bedrijven;19;;waar westerse;43;;waar westerse;53;;staten westerse;121;;enkele westerse;170;
